name_new,name_old,home_wins_new,home_wins_old,away_wins_new,away_wins_old,home_draws_new,home_draws_old,away_draws_new,away_draws_old,home_loss_new,home_loss_old,away_loss_new,away_loss_old,team_old,team_new,league,new_manager_type,old_manager_type,start_date_new,start_date_old,wins_new,wins_old,draws_new,draws_old,loss_new,loss_old,first_bounce_effect,first_bounce_cause,match_location,year,bounce_effect,bounce_value
Eugenio Corini,Fabio Grosso,0,0,1,0,0,0,0,0,0,0,0,1,Brescia,Brescia,SERIE_A,PERMANENT,INTERIM,2019-12-08,2019-11-24,1,0,0,0,0,1,WIN,LOSS,AWAY,2019,True,Bounce
Diego López,Eugenio Corini,0,0,0,0,1,0,0,0,0,1,0,0,Brescia,Brescia,SERIE_A,PERMANENT,PERMANENT,2020-02-09,2020-01-24,0,0,1,0,0,1,DRAW,LOSS,HOME,2020,True,Bounce
Fabrizio Lorieri,Luca Gotti,0,0,0,0,0,0,0,0,1,1,0,0,Spezia,Spezia,SERIE_A,INTERIM,PERMANENT,2023-02-19,2023-02-05,0,0,0,0,1,1,LOSS,LOSS,HOME,2023,False,No-Bounce
Leonardo Semplici,Fabrizio Lorieri,0,0,0,0,0,0,1,1,0,0,0,0,Spezia,Spezia,SERIE_A,PERMANENT,INTERIM,2023-02-26,2023-02-11,0,0,1,1,0,0,DRAW,DRAW,AWAY,2023,False,No-Bounce
Michael Jackson,Sean Dyche,0,1,0,0,0,0,1,0,0,0,0,0,Burnley,Burnley,EPL,PERMANENT,PERMANENT,2022-04-17,2022-04-06,0,1,1,0,0,0,DRAW,WIN,AWAY,2022,False,No-Bounce
Javier Aguirre,Luis García,0,0,0,0,0,0,0,0,0,1,1,0,Mallorca,Mallorca,LALIGA,PERMANENT,PERMANENT,2022-04-02,2022-03-14,0,0,0,0,1,1,LOSS,LOSS,AWAY,2022,False,No-Bounce
Walter Zenga,Davide  Nicola,0,0,0,0,0,0,0,0,0,0,1,1,Crotone,Crotone,SERIE_A,PERMANENT,PERMANENT,2017-12-10,2017-11-26,0,0,0,0,1,1,LOSS,LOSS,AWAY,2017,False,No-Bounce
Serse Cosmi,Giovanni Stroppa,0,0,0,0,0,0,0,0,0,0,1,1,Crotone,Crotone,SERIE_A,PERMANENT,PERMANENT,2021-03-03,2021-02-22,0,0,0,0,1,1,LOSS,LOSS,AWAY,2021,False,No-Bounce
Mark Hudson,David Wagner,0,0,0,0,0,0,0,0,1,1,0,0,Huddersfield,Huddersfield,EPL,INTERIM,PERMANENT,2019-01-20,2019-01-02,0,0,0,0,1,1,LOSS,LOSS,HOME,2019,False,No-Bounce
Jan Siewert,Mark Hudson,0,0,0,0,0,0,0,1,1,0,0,0,Huddersfield,Huddersfield,EPL,PERMANENT,INTERIM,2019-01-29,2019-01-12,0,0,0,1,1,0,LOSS,DRAW,HOME,2019,False,No-Bounce
